fecha,año,ruta,operador,tipo vuelo,tipo aeronave,total personas a bordo,pasajeros a bordo,tripulación a bordo,cantidad de fallecidos,pasajeros fallecidos,tripulación fallecida,fallecidos en tierra,total fallecidos
1949-08-19,1949,"Near Oldham, England",British European Airways,Belfast - Manchester,Douglas DC-3,32,29,3,24,21,3,0,24
1949-08-21,1949,"Near Bigstone Lake, Manitoba",Military - Royal Canadian Air Force,Churchhill - Winnipeg,Consolidated Canso (amphibian),21,14,7,21,14,7,0,21
1949-08-27,1949,"Leopoldville, Zaire",Sabena,Leopoldville - Elizabethville,Douglas C-47B-5-DK,20,17,3,5,3,2,0,5
1949-09-09,1949,"Sault-aux-Cochons, PQ, Canada",Canadian Pacific Air Lines,Montreal - Comeau Bay,Douglas DC-3,23,19,4,23,19,4,0,23
1949-09-26,1949,"Mt. Popocatepetl, Mexico",Mexicana,Tapacula - Mexico City,Douglas DC-3,24,21,3,24,21,3,0,24
1949-09-27,1949,"Near Castilla, Argentina",Flota Aérea Mercante Argentina,,Douglas C-54A-1-DO,27,20,7,5,2,3,0,5
1949-10-09,1949,"Cheyenne, Wyoming",Slick Airways,Las Vegas - Denver,Curtiss C-46E-1-CS,4,2,2,4,2,2,0,4
1949-10-28,1949,"San Miguel Island, Azores",Air France,Paris - Santa Maria - New York City,Lockheed 749-79-33 Constellation,48,37,11,48,37,11,0,48
1949-11-01,1949,"Arlington, Virginia",Eastern Air Lines / Military - Bolivian Air Force,Boston - Washington D.C. - New Orleans,Douglas C-54B / P-38,55,51,4,55,51,4,0,55
1949-11-04,1949,"Akron, Ohio",Harrington's Inc,Philadelphia - Cleveland,Douglas DC-3,3,0,3,3,0,3,0,3
1949-11-16,1949,"Calcutta, India",Royal Indian Air Force,,Tempest,2,0,2,1,0,1,14,15
1949-11-20,1949,"Near Oslo, Norway",Aero Holland,Brussels - Oslo,Douglas C-47A,35,31,4,34,30,4,0,34
1949-11-26,1949,"Near Bucaramanga, Colombia",LANSA,Bucaramanga - Cucuta,Douglas DC-3,12,9,3,12,9,3,0,12
1949-11-29,1949,"Dallas, Texas",American Airlines,New York City - Mexico City,Douglas DC-6,46,41,5,28,26,2,0,28
1949-11-29,1949,"Chaleyssin, France",Air France,Paris - Lyons - Tunis,Douglas DC-4,38,33,5,5,1,4,0,5
1949-12-01,1949,"Taquaracucu, Brazil",REAL,"Sao Palo, Brazil - Jacarezinho, Panama",Douglas DC-3 (C-47-DL),22,18,4,20,16,4,0,20
1949-12-07,1949,"Vallejo, California",Arrow Airlines,Burbank - Oakland - Sacramento,Douglas DC-3,9,6,3,9,6,3,0,9
